time1	em2
8461.821	-27.9558
8461.822	-28.0413
8461.823	-27.7353
8461.824	-27.4918
8461.825	-27.5576
8461.826	-27.4325
8461.827	-27.1693
8461.828	-26.7876
8461.829	-26.8633
8461.830	-26.781
8461.831	-26.7316
8461.832	-26.9686
8461.833	-26.9784
8461.834	-27.0969
8461.835	-27.3108
8461.836	-27.5444
8461.837	-27.5543
8461.838	-27.7879
8461.839	-27.7616
8461.840	-27.5444
8461.841	-27.6069
8461.842	-27.551
8461.843	-27.4128
8461.844	-27.2516
8461.845	-27.0081
8461.846	-27.1759
8461.847	-27.2088
8461.848	-27.2417
8461.849	-27.2845
8461.850	-27.449
8461.851	-27.6728
8461.852	-27.7484
8461.853	-28.015
8461.854	-27.9854
8461.855	-27.9294
8461.856	-28.1071
8461.857	-27.857
8461.858	-27.6728
8461.859	-27.7254
8461.860	-27.4753
8461.861	-27.4622
8461.862	-27.5082
8461.863	-27.3898
8461.864	-27.1397
8461.865	-27.4622
8461.866	-27.6629
8461.867	-27.8143
8461.868	-28.0249
8461.869	-28.3078
8461.870	-28.344
8461.871	-28.2618
8461.872	-28.3078
8461.873	-28.1565
8461.874	-27.653
8461.875	-27.5675
8461.876	-27.4194
8461.877	-27.2483
8461.878	-27.1397
8461.879	-27.3141
8461.880	-27.2581
8461.881	-27.1199
8461.882	-27.3108
8461.883	-27.4424
8461.884	-27.5773
8461.885	-27.8373
8461.886	-28.0051
8461.887	-28.0413
8461.888	-28.1663
8461.889	-28.1104
8461.890	-28.117
8461.891	-27.7386
8461.892	-27.5773
8461.893	-27.3404
8461.894	-27.324
8461.895	-27.2351
8461.896	-27.2647
8461.897	-27.1364
8461.898	-27.0508
8461.899	-27.1232
8461.900	-27.4029
8461.901	-27.4984
8461.902	-27.7221
8461.903	-27.811
8461.904	-27.6991
8461.905	-27.7748
8461.906	-27.676
8461.907	-27.426
8461.908	-27.3338
8461.909	-27.0837
8461.910	-26.883
8461.911	-26.7448
8461.912	-26.7448
8461.913	-26.7316
8461.914	-26.6527
8461.915	-26.8731
8461.916	-26.8764
8461.917	-26.9982
8461.918	-27.0541
8461.919	-27.37
8461.920	-27.551
8461.921	-27.5214
8461.922	-27.6004
8461.923	-27.2219
8461.924	-27.0475
8461.925	-26.9192
8461.926	-26.9784
8461.927	-27.0113
8461.928	-26.8764
8461.929	-26.9159
8461.930	-26.7185
8461.931	-26.6263
8461.932	-26.8567
8461.933	-26.8896
8461.934	-26.8797
8461.935	-27.041
8461.936	-27.3503
8461.937	-27.2713
8461.938	-27.6267
8461.939	-27.6892
8461.940	-27.4687
8461.941	-27.4161
8461.942	-27.2121
8461.943	-27.0739
8461.944	-27.0048
8461.945	-27.143
8461.946	-27.1956
8461.947	-26.9192
8461.948	-26.8238
8461.949	-26.9093
8461.950	-27.0739
8461.951	-26.8797
8461.952	-27.064
8461.953	-27.2022
8461.954	-27.0541
8461.955	-27.041
8461.956	-27.0837
8461.957	-26.8534
8461.958	-26.7218
8461.959	-26.7218
8461.960	-26.7349
8461.961	-26.6889
8461.962	-26.6099
8461.963	-26.7942
8461.964	-26.5869
8461.965	-26.9028
8461.966	-26.9192
8461.967	-26.9982
8461.968	-27.0113
8461.969	-27.3569
8461.970	-27.5642
8461.971	-27.3667
8461.972	-27.4655
8461.973	-27.5214
8461.974	-27.2384
8461.975	-27.143
8461.976	-26.9357
8461.977	-26.7711
8461.978	-26.4783
8461.979	-26.4914
8461.980	-26.3368
8461.981	-26.1097
8461.982	-26.3105
8461.983	-26.3598
8461.984	-26.3927
8461.985	-26.7514
8461.986	-27.0706
8461.987	-27.0377
8461.988	-27.1792
8461.989	-27.1331
8461.990	-27.0739
8461.991	-26.8896
8461.992	-26.8271
8461.993	-26.6165
8461.994	-26.5408
8461.995	-26.3697
8461.996	-26.4158
8461.997	-26.1821
8461.998	-26.4454
8461.999	-26.4816
8462.000	-26.6132
8462.001	-26.8633
8462.002	-27.1693
8462.003	-27.4095
8462.004	-27.3437
8462.005	-27.3996
8462.006	-27.3931
8462.007	-27.0706
8462.008	-26.8863
8462.009	-26.985
8462.010	-26.7843
8462.011	-26.5046
8462.012	-26.554
8462.013	-26.4158
8462.014	-26.2315
8462.015	-26.4849
8462.016	-26.6231
8462.017	-26.8633
8462.018	-26.9752
8462.019	-27.1825
8462.020	-27.1693
8462.021	-27.1199
8462.022	-27.2713
8462.023	-26.9883
8462.024	-26.8929
8462.025	-26.7514
8462.026	-26.6362
8462.027	-26.5507
8462.028	-26.4026
8462.029	-26.4355
8462.030	-26.1525
8462.031	-25.8596
8462.032	-26.0768
8462.033	-26.3532
8462.034	-26.5638
8462.035	-26.4158
8462.036	-26.5934
8462.037	-26.6165
8462.038	-26.7382
8462.039	-26.5803
8462.040	-26.4026
8462.041	-26.3894
8462.042	-26.1393
8462.043	-26.1163
8462.044	-25.8761
8462.045	-25.8136
8462.046	-25.784
8462.047	-25.649
8462.048	-25.5767
8462.049	-25.6819
8462.050	-25.8761
8462.051	-25.8366
8462.052	-25.9584
8462.053	-26.2019
8462.054	-26.2414
8462.055	-26.3598
8462.056	-26.3072
8462.057	-26.1657
8462.058	-25.9485
8462.059	-25.9978
8462.060	-25.8596
8462.061	-25.6556
8462.062	-25.4812
8462.063	-25.501
8462.064	-25.3299
8462.065	-25.6721
8462.066	-25.7675
8462.067	-25.8333
8462.068	-26.0933
8462.069	-26.3466
8462.070	-26.5112
8462.071	-26.6
8462.072	-26.6198
8462.073	-26.3368
8462.074	-26.3039
8462.075	-26.2545
8462.076	-26.0867
8462.077	-25.9485
8462.078	-25.7675
8462.079	-25.8695
8462.080	-25.9386
8462.081	-25.9452
8462.082	-26.0472
8462.083	-26.0373
8462.084	-25.9847
8462.085	-25.9781
8462.086	-26.294
8462.087	-26.2249
8462.088	-26.2677
8462.089	-26.3105
8462.090	-26.09
8462.091	-25.7807
8462.092	-25.7971
8462.093	-25.7149
8462.094	-25.5799
8462.095	-25.4615
8462.096	-25.5997
8462.097	-25.4022
8462.098	-25.3693
8462.099	-25.4549
