time3	em3
8607.539	-8.2846
8607.540	-8.44584
8607.541	-8.25828
8607.542	-8.34713
8607.543	-8.73541
8607.544	-8.844
8607.545	-9.09738
8607.546	-9.23887
8607.547	-9.29152
8607.548	-9.34417
8607.549	-9.24875
8607.550	-9.12041
8607.551	-9.19281
8607.552	-9.20597
8607.553	-9.10396
8607.554	-9.23887
8607.555	-9.21913
8607.556	-9.14345
8607.557	-8.90653
8607.558	-8.72225
8607.559	-8.87362
8607.560	-9.06776
8607.561	-8.90982
8607.562	-9.05131
8607.563	-9.25204
8607.564	-9.33759
8607.565	-9.08751
8607.566	-9.11383
8607.567	-8.69264
8607.568	-8.52482
8607.569	-8.52811
8607.570	-8.37674
8607.571	-8.41294
8607.572	-8.43268
8607.573	-8.70909
8607.574	-8.58734
8607.575	-8.29119
8607.576	-8.55772
8607.577	-8.742
8607.578	-8.57089
8607.579	-8.74529
8607.580	-8.9493
8607.581	-8.88678
8607.582	-8.99537
8607.583	-9.08422
8607.584	-8.75845
8607.585	-8.56101
8607.586	-8.58405
8607.587	-8.72554
8607.588	-8.71567
8607.589	-8.57089
8607.590	-8.68606
8607.591	-8.20563
8607.592	-8.12008
8607.593	-8.18589
8607.594	-8.09046
8607.595	-8.16614
8607.596	-8.61037
8607.597	-8.78148
8607.598	-8.88678
8607.599	-9.32443
8607.600	-9.57451
8607.601	-9.57122
8607.602	-9.34746
8607.603	-9.38366
8607.604	-9.23229
8607.605	-9.21584
8607.606	-9.13358
8607.607	-9.0546
8607.608	-8.86046
8607.609	-9.14674
8607.610	-9.43631
8607.611	-9.46922
8607.612	-9.41328
8607.613	-9.47909
8607.614	-9.53174
8607.615	-9.47251
8607.616	-9.5449
8607.617	-9.28165
8607.618	-9.10725
8607.619	-9.17635
8607.620	-9.15661
8607.621	-9.16648
8607.622	-8.90653
8607.623	-9.0217
8607.624	-8.83084
8607.625	-8.58734
8607.626	-8.89665
8607.627	-8.93943
8607.628	-9.02499
8607.629	-9.14674
8607.630	-9.35734
8607.631	-9.41328
8607.632	-9.31456
8607.633	-9.39682
8607.634	-9.10067
8607.635	-8.9164
8607.636	-8.844
8607.637	-8.76174
8607.638	-8.74529
8607.639	-8.59721
8607.640	-8.60708
8607.641	-8.65644
8607.642	-8.65315
8607.643	-8.90982
8607.644	-9.15661
8607.645	-9.10396
8607.646	-9.44618
8607.647	-9.83118
8607.648	-9.89041
8607.649	-9.87067
8607.650	-9.6831
8607.651	-9.45605
8607.652	-9.53174
8607.653	-9.35075
8607.654	-9.4034
8607.655	-9.32772
